,Unnamed: 0,cik,size,ni,zscore,leverage,prloss,chgdt,cfo,liquidity,mkbk,litigate,reportlag,priorgc,newequity,newdebt,dependence,indexpert,tenure,big4,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,bankruptcy,logmodel_pred,naivebayes_pred,KN_pred,svc_pred,DC_pred,rf_pred,xgb_pred
0,0,1923,4.633232724,-0.457,-1.3792070980000002,0.782723684,1,0.0,0.068626879,0.07067849,0.49270563,0,88,0,0.029568481,0.0,0.0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
1,1,1961,0.67498321,-8.92,22.16445552,2.979633401,1,0.0,-2.646130346,0.019348268999999998,-0.41983024700000005,1,107,0,17.22199593,0.0,0.013169516000000001,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
2,2,2062,4.720425585,2.224,0.0,0.665965638,1,0.0,-0.072984245,0.066363085,0.6738368370000001,0,89,0,0.021253654,0.044556926,0.014005015,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
3,3,2186,2.913545603,-1.4280000000000002,-1.775756186,0.654760612,1,0.0,-0.023178808,0.011290848000000001,0.34147798700000004,1,92,0,0.29019650399999997,0.035555314,1.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
4,4,2491,5.861603552999999,-15.035,1.420819391,1.1407225429999999,1,0.0,-0.008423311999999999,0.091218861,-0.505508355,0,90,0,0.030994599999999997,0.5408682929999999,0.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
5,5,2589,2.955430977,0.331,-4.36751862,0.760489328,1,0.0,-0.135085893,0.002498699,1.435122799,0,72,0,0.229151484,0.21348256100000002,0.005834504,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
6,6,2852,7.361604119,-98.24700000000001,-2.454302757,0.959283772,1,-0.18583165899999998,0.041440331000000004,0.0,0.0,0,92,0,0.0,0.0,0.0,0,1.098612289,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True
7,7,3197,4.0234928210000005,-0.69,-1.251593335,0.87355088,1,0.0,0.047069558,0.011879203999999999,1.534139785,0,95,0,0.18566623699999998,0.0,0.017229122,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
8,8,3202,7.785887133999999,-64.3,-2.6253131830000003,0.707613032,1,0.0,0.082155918,0.04197141,0.0,0,45,0,4.16e-07,0.161569149,0.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
9,9,3570,3.54575938,-0.7809999999999999,-4.241423281,0.046298967,1,0.0,0.150089425,0.054491433,0.9131030520000001,0,92,0,0.383574684,0.014423354,0.001689403,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
10,10,3642,5.919657003999999,-30.8,0.0,0.88237206,1,0.0,-0.121111839,0.00020683099999999999,0.969925327,0,92,0,0.019015053,0.0,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
11,11,3721,6.159141899,12.052999999999999,-2.7992276869999997,0.502987176,1,0.0,-0.005464861999999999,0.022280148,2.1380215909999998,1,87,0,0.068707164,0.0,0.072071307,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
12,12,3952,4.474571631,9.222000000000001,-4.519683566,0.467620817,1,0.0,-0.0018801920000000001,0.086260925,0.888345462,0,88,0,0.05844548,0.014893399,0.737021512,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
13,13,3959,2.97517236,-8.134,-1.817169593,0.21191241800000002,1,0.0,-0.241055479,0.002041545,0.412784146,1,107,0,2.010054611,0.1055479,0.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
14,14,3982,0.755182571,-0.18899999999999997,-2.470208749,32.31766917,1,0.0,-0.031484962000000005,0.168233083,-0.03426415,0,92,0,5.445488722,2.916823308,0.008348346999999999,1,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
15,15,4127,7.205569843999999,-236.06400000000002,-2.791729831,0.24644223199999998,1,0.0,-0.07357125,0.03961506,0.6140817120000001,1,84,0,0.110329405,0.17076097,0.018515107,0,0.693147181,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
16,16,4164,7.646710085,-11.248,-0.46631663700000003,0.9403776770000001,1,0.0,0.044949578,0.010771603000000001,0.24027909100000003,0,92,0,0.010470707,0.041976438,0.003803847,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
17,17,4187,2.9859344310000004,0.506,-3.8485998169999998,0.777884373,1,0.0,-0.09028023199999999,0.070487251,0.9550806999999999,0,89,0,0.098863923,0.07573845,0.108095879,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
18,18,4317,2.1278744990000003,-0.111,-3.4621397430000003,0.416577349,1,0.0,-0.035607955,0.28367274,10.81759543,0,77,0,1.015124449,0.26009289,1.0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
