,Unnamed: 0,cik,size,ni,zscore,leverage,prloss,chgdt,cfo,liquidity,mkbk,litigate,reportlag,priorgc,newequity,newdebt,dependence,indexpert,tenure,big4,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year,bankruptcy,rf_pred,log_pred
0,39,1923,4.633232724,-0.457,-1.379207098,0.782723684,1,0,0.068626879,0.07067849,0.49270563,0,88,0,0.029568481,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
266,62222,948070,1.291708919,0.074,-4.436830457,0.296784831,1,0,-0.01786205,0.304754053,0.697538101,0,123,0,0.825776312,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
265,62215,948069,4.775309506,10.629,-4.376339377,0.250027415,1,0,-0.065779817,0.062144128,1.418107686,0,92,0,0.088909884,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
264,61608,945446,3.250994455,-12.713,-2.122432936,0.41935234,1,0,-0.338123644,0.667957856,2.641014009,0,65,0,0,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
263,61600,945439,-0.404965233,-1.153,3.463117113,0.977511244,1,0,-0.526236882,0.013493253,65.28666667,0,92,0,10.48725637,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
262,61263,944248,3.614317533,-4.125,-3.233276018,0.38161935,1,0,-0.049534019,0.026585142,9.381130761,1,83,0,0.303264559,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
261,61066,943206,4.822762357,-8.121,-3.544840535,0.636716865,1,0,-0.002099624,0.062900216,0.772727474,0,106,0,0,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,TRUE,FALSE,FALSE
260,60371,935496,-0.349557476,-1.493,5.218973068,6.946099291,1,0,-0.709219858,0,-0.907251908,0,510,0,23.34326241,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
259,60313,935155,0.947789399,-27.596,44.39750299,5.655426357,1,0,-2.987209302,0.11744186,-2.452127217,1,139,0,0,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
258,60008,933733,0.788002712,-0.429,-3.458413266,1.003638017,1,0,-0.031832651,0.130968622,-1156,0,90,0,2.330150068,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
267,62893,1000621,3.107586658,0.236,-3.141197231,0.747306299,1,0,-0.117181562,0.016139849,4.771054494,0,164,0,1.707515536,0.044708723,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
